threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.78,96.14,45.66,0.56,82.14285714285714,57.74,7.82,92.8388746803069,88.9,66.64,98.43937575030012,0.56,82.14285714285714,7.5,93.06666666666666,59.3,98.41483979763912,32.64,95.32
0.79,96.14,45.66,0.48,83.33333333333333,57.74,6.96,92.816091954023,88.9,65.5,98.53435114503817,0.48,83.33333333333333,6.68,92.81437125748504,58.98,98.50796880298407,33.86,95.38
0.8,96.14,45.66,0.38,89.47368421052632,57.74,6.48,93.82716049382717,88.9,64.36,98.60161591050341,0.38,89.47368421052632,6.24,93.91025641025641,58.26,98.55818743563337,35.12,95.52
0.81,96.14,45.66,0.3,93.33333333333333,57.74,5.9,93.89830508474576,88.9,62.96,98.72935196950445,0.3,93.33333333333333,5.76,93.75,57.4,98.71080139372822,36.54,95.64
0.82,96.14,45.66,0.24,91.66666666666667,57.74,5.3,93.9622641509434,88.9,61.68,98.8651102464332,0.24,91.66666666666667,5.18,93.82239382239382,56.7,98.87125220458553,37.88,95.68
0.83,96.14,45.66,0.18,88.88888888888889,57.74,4.62,94.37229437229438,88.9,60.68,98.97824653922216,0.18,88.88888888888889,4.54,94.27312775330397,56.3,99.00532859680284,38.98,95.74
0.84,96.14,45.66,0.12,83.33333333333333,57.74,3.98,94.47236180904522,88.9,59.08,99.01828029790116,0.12,83.33333333333333,3.92,94.38775510204081,55.34,99.06035417419588,40.62,95.8
0.85,96.14,45.66,0.1,100.0,57.74,3.5,95.42857142857143,88.9,57.94,99.13703831549878,0.1,100.0,3.44,95.34883720930233,54.66,99.15843395536041,41.8,95.9
0.86,96.14,45.66,0.08,100.0,57.74,3.06,94.77124183006536,88.9,56.68,99.22371206774876,0.08,100.0,3.02,94.70198675496688,53.82,99.25678186547752,43.08,95.94
0.87,96.14,45.66,0.04,100.0,57.74,2.66,95.48872180451127,88.9,55.48,99.27901946647441,0.04,100.0,2.62,95.41984732824427,53.04,99.28355957767722,44.3,95.96
0.88,96.14,45.66,0.02,100.0,57.74,2.36,94.91525423728814,88.9,53.68,99.40387481371089,0.02,100.0,2.34,94.87179487179488,51.54,99.41792782305006,46.1,96.0
0.89,96.14,45.66,0.02,100.0,57.74,1.98,94.94949494949495,88.9,51.76,99.57496136012365,0.02,100.0,1.96,94.89795918367346,49.94,99.55947136563877,48.08,96.02
0.9,96.14,45.66,0.02,100.0,57.74,1.68,95.23809523809524,88.9,49.2,99.67479674796748,0.02,100.0,1.66,95.18072289156626,47.68,99.66442953020135,50.64,96.02
0.91,96.14,45.66,0.02,100.0,57.74,1.46,94.52054794520548,88.9,47.3,99.70401691331924,0.02,100.0,1.44,94.44444444444444,46.0,99.69565217391305,52.54,96.0
0.92,96.14,45.66,0.0,0.0,57.74,1.08,96.29629629629629,88.9,45.02,99.8223011994669,0.0,0.0,1.08,96.29629629629629,44.04,99.81834695731153,54.88,96.06
0.93,96.14,45.66,0.0,0.0,57.74,0.9,95.55555555555556,88.9,42.04,99.85727878211227,0.0,0.0,0.9,95.55555555555556,41.24,99.8545101842871,57.86,96.06
0.94,96.14,45.66,0.0,0.0,57.74,0.68,94.11764705882354,88.9,38.62,100.0,0.0,0.0,0.68,94.11764705882354,38.02,100.0,61.3,96.12
0.95,96.14,45.66,0.0,0.0,57.74,0.38,89.47368421052632,88.9,35.44,100.0,0.0,0.0,0.38,89.47368421052632,35.14,100.0,64.48,96.12
0.96,96.14,45.66,0.0,0.0,57.74,0.16,87.5,88.9,31.94,100.0,0.0,0.0,0.16,87.5,31.82,100.0,68.02,96.14
0.97,96.14,45.66,0.0,0.0,57.74,0.04,100.0,88.9,27.46,100.0,0.0,0.0,0.04,100.0,27.42,100.0,72.54,96.16
0.98,96.14,45.66,0.0,0.0,57.74,0.0,0.0,88.9,20.88,100.0,0.0,0.0,0.0,0.0,20.88,100.0,79.12,96.14
0.99,96.14,45.66,0.0,0.0,57.74,0.0,0.0,88.9,12.18,100.0,0.0,0.0,0.0,0.0,12.18,100.0,87.82,96.14
1.0,96.14,45.66,0.0,0.0,57.74,0.0,0.0,88.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,96.14
