threshold,final_accuracy,after_layer3_block5_rate,after_layer3_block5_accuracy,after_layer3_block10_rate,after_layer3_block10_accuracy,after_layer3_block15_rate,after_layer3_block15_accuracy,after_layer3_block20_rate,after_layer3_block20_accuracy,after_layer4_rate,after_layer4_accuracy,after_layer3_block5_sequential_rate,after_layer3_block5_sequential_accuracy,after_layer3_block10_sequential_rate,after_layer3_block10_sequential_accuracy,after_layer3_block15_sequential_rate,after_layer3_block15_sequential_accuracy,after_layer3_block20_sequential_rate,after_layer3_block20_sequential_accuracy,after_layer4_sequential_rate,after_layer4_sequential_accuracy,final_rate,overall_accuracy
0.42,74.04,67.52,61.81872037914692,75.74,66.8867177185107,80.02,68.68282929267683,84.38,71.1068973690448,89.46,81.6677844846859,67.52,61.81872037914692,17.54,49.60091220068415,7.6,40.26315789473684,3.44,38.95348837209303,2.28,62.280701754385966,1.62,56.72
0.43,74.04,66.18,62.405560592323965,74.7,67.60374832663989,79.14,69.26964872378065,83.52,71.64750957854406,89.02,81.73444169849472,66.18,62.405560592323965,17.96,50.89086859688196,7.8,40.51282051282051,3.82,43.455497382198956,2.5,60.0,1.74,57.22
0.44,74.04,64.94,63.135201724668924,73.76,68.11279826464208,78.12,69.76446492575525,82.88,71.98359073359073,88.52,82.01536375960235,64.94,63.135201724668924,18.3,52.131147540983605,7.96,40.20100502512563,4.02,43.78109452736319,2.82,61.702127659574465,1.96,57.74
0.45,74.04,63.72,63.77903327055869,72.78,68.56279197581753,77.26,70.17861765467254,81.96,72.42557345046365,88.16,82.2141560798548,63.72,63.77903327055869,18.66,52.840300107181136,8.2,42.19512195121951,4.16,45.19230769230769,3.1,63.225806451612904,2.16,58.34
0.46,74.04,62.52,64.3953934740883,71.86,69.10659615919845,76.28,70.66072364971158,81.18,72.82581916728259,87.72,82.5125398996808,62.52,64.3953934740883,19.1,53.50785340314136,8.38,42.95942720763723,4.34,45.16129032258065,3.22,64.59627329192547,2.44,58.76
0.47,74.04,61.36,65.1890482398957,70.54,69.83271902466686,75.08,71.28396377197656,80.1,73.45817727840199,87.28,82.74518790100825,61.36,65.1890482398957,19.04,54.096638655462186,8.6,42.7906976744186,4.7,45.95744680851064,3.52,67.04545454545455,2.78,59.22
0.48,74.04,60.24,65.77025232403719,69.62,70.43952887101408,74.22,71.86742118027486,79.3,73.77049180327869,86.62,83.1678596167167,60.24,65.77025232403719,19.46,54.67625899280576,8.66,42.956120092378754,4.8,45.416666666666664,3.9,68.2051282051282,2.94,59.56
0.49,74.04,59.22,66.46403242147923,68.4,70.76023391812865,73.26,72.2904722904723,78.34,74.24049017104927,86.1,83.46109175377468,59.22,66.46403242147923,19.38,54.79876160990712,8.88,44.369369369369366,5.18,47.1042471042471,4.14,67.6328502415459,3.2,60.02
0.5,74.04,58.48,66.86046511627907,67.46,71.21257041209606,72.24,72.75747508305648,77.26,74.76054879627233,85.32,83.87248007501172,58.48,66.86046511627907,19.2,55.520833333333336,9.0,45.77777777777778,5.46,47.252747252747255,4.44,67.11711711711712,3.42,60.3
0.51,74.04,57.22,67.28416637539321,66.62,71.69018312818973,71.32,73.2192933258553,76.1,75.37450722733246,84.4,84.26540284360189,57.22,67.28416637539321,19.64,56.82281059063136,9.2,46.30434782608695,5.58,48.028673835125446,4.54,67.40088105726872,3.82,60.66
0.52,74.04,55.92,68.24034334763948,65.52,72.06959706959707,70.32,73.57792946530148,75.08,75.94565796483751,83.66,84.60435094429835,55.92,68.24034334763948,19.88,56.63983903420523,9.46,46.723044397463,5.9,48.47457627118644,4.7,68.08510638297872,4.14,61.04
0.53,74.04,54.9,68.56102003642987,64.32,72.41915422885572,69.42,74.2437337942956,74.18,76.30088972768941,82.92,84.97346840328026,54.9,68.56102003642987,19.98,57.25725725725726,9.58,49.06054279749478,6.04,47.682119205298015,4.98,68.27309236947791,4.52,61.26
0.54,74.04,53.72,69.3596425912137,63.24,72.89690069576217,68.52,74.810274372446,73.26,76.74037674037675,82.24,85.35992217898833,53.72,69.3596425912137,19.98,58.25825825825826,9.82,49.89816700610998,6.26,47.92332268370607,5.42,69.74169741697418,4.8,61.86
0.55,74.04,52.58,69.9125142639787,62.2,73.56913183279742,67.56,74.98519834221433,72.42,77.18862192764429,81.34,85.73887386279813,52.58,69.9125142639787,20.22,59.14935707220574,10.0,49.8,6.3,48.888888888888886,5.64,70.56737588652483,5.26,62.18
0.56,74.04,51.58,70.45366421093448,61.14,74.12495911023879,66.82,75.24693205627058,71.8,77.54874651810584,80.8,85.99009900990099,51.58,70.45366421093448,20.26,59.427443237907205,10.24,50.0,6.46,49.845201238390096,5.9,70.84745762711864,5.56,62.4
0.57,74.04,50.68,70.95501183898973,60.2,74.5514950166113,65.56,75.77791336180599,71.14,77.8464998594321,80.16,86.20259481037924,50.68,70.95501183898973,20.2,60.2970297029703,10.32,50.3875968992248,6.88,50.58139534883721,6.12,69.93464052287581,5.8,62.66
0.58,74.04,49.44,71.5210355987055,59.38,75.04210171775009,64.66,76.3686978038973,70.28,78.14456459874786,79.74,86.45598194130926,49.44,71.5210355987055,20.54,61.53846153846154,10.48,51.52671755725191,7.02,50.997150997150996,6.38,70.21943573667711,6.14,63.12
0.59,74.04,48.8,72.04918032786885,58.6,75.66552901023891,63.62,76.95693178245834,69.56,78.57964347326049,79.24,86.77435638566381,48.8,72.04918032786885,20.5,62.048780487804876,10.52,51.71102661596958,7.14,51.5406162464986,6.42,70.7165109034268,6.62,63.24
0.6,74.04,47.86,72.37776849143334,57.66,76.20534165799515,62.64,77.42656449553002,68.8,78.8953488372093,78.64,87.08036622583927,47.86,72.37776849143334,20.62,62.46362754607178,10.56,52.27272727272727,7.3,51.78082191780822,6.7,71.04477611940298,6.96,63.36
0.61,74.04,47.0,72.80851063829788,56.82,76.55755015839493,61.76,77.97927461139896,68.14,79.1018491341356,78.2,87.21227621483376,47.0,72.80851063829788,20.74,63.06653809064609,10.4,53.84615384615385,7.46,52.01072386058981,7.0,72.28571428571429,7.4,63.72
0.62,74.04,45.92,73.25783972125436,56.06,77.13164466642883,60.88,78.580814717477,67.36,79.7209026128266,77.56,87.54512635379061,45.92,73.25783972125436,20.72,64.28571428571429,10.54,54.45920303605313,7.6,53.68421052631579,7.3,72.6027397260274,7.92,64.06
0.63,74.04,45.08,73.77994676131323,55.18,77.49184487133019,59.88,79.19171676686707,66.54,80.07213706041479,76.96,87.83783783783784,45.08,73.77994676131323,20.56,64.98054474708171,10.54,55.21821631878558,7.58,54.08970976253298,7.76,72.9381443298969,8.48,64.28
