threshold,final_accuracy,after_layer1_isolated_accuracy,after_layer1_rate,after_layer1_accuracy,after_layer2_isolated_accuracy,after_layer2_rate,after_layer2_accuracy,after_layer3_isolated_accuracy,after_layer3_rate,after_layer3_accuracy,after_layer1_sequential_rate,after_layer1_sequential_accuracy,after_layer2_sequential_rate,after_layer2_sequential_accuracy,after_layer3_sequential_rate,after_layer3_sequential_accuracy,final_rate,overall_accuracy
0.21,97.33312292883068,30.795329020041027,25.177528799116303,61.26606079598872,53.55057598232602,66.24585766135395,68.46117198666032,85.34795644626794,97.15953921413919,87.21780087705051,25.177528799116303,61.26606079598872,42.2202935142812,63.31526817417305,30.527063279154174,80.71853192039286,2.075114407448319,68.61290831623796
0.22,97.33312292883068,30.795329020041027,23.552154016095944,62.68006700167504,53.55057598232602,64.13918257850717,69.49194242834297,85.34795644626794,96.64667823891432,87.50918442321822,23.552154016095944,62.68006700167504,41.69165220135711,64.57229371688115,32.23922991952028,81.44884973078806,2.516963863026669,70.1593814107622
0.23,97.33312292883068,30.795329020041027,22.195044973962442,64.20191965872733,53.55057598232602,62.008836989111565,70.61967171395852,85.34795644626794,96.2206091210352,87.74087740877408,22.195044973962442,64.20191965872733,40.89474514754616,65.98495080069458,33.959286728736,81.97026022304833,2.950923149755405,71.6979643364368
0.24,97.33312292883068,30.795329020041027,21.09042133501657,65.58174335952114,53.55057598232602,59.71279785387407,71.88160676532769,85.34795644626794,95.79454000315607,87.98286796804217,21.09042133501657,65.58174335952114,39.703329651254535,67.62718600953895,35.89237809689127,82.47966586062871,3.31387091683762,73.23654726211142
0.25,97.33312292883068,30.795329020041027,19.906896007574563,66.98374950455806,53.55057598232602,57.692914628373046,72.96225382932167,85.34795644626794,95.36847088527695,88.22702076611235,19.906896007574563,66.98374950455806,38.83541107779706,68.85412433969931,37.54142338646047,82.97604035308953,3.716269528167903,74.53842512229761
0.26,97.33312292883068,30.795329020041027,18.912734732523276,68.21026282853568,53.55057598232602,55.87817579296197,73.83507483761649,85.34795644626794,94.89506075430015,88.50918766109586,18.912734732523276,68.21026282853568,37.967492504339596,69.99168744804655,38.98532428593972,83.42440801457195,4.134448477197412,75.67460943664194
0.27,97.33312292883068,30.795329020041027,18.084267003313872,69.19720767888307,53.55057598232602,53.889853242859395,75.00732064421669,85.34795644626794,94.37430961022567,88.77184181924588,18.084267003313872,69.19720767888307,36.85497869654411,71.4193962748876,40.41344484771974,84.16634127294026,4.647309452422282,76.99226763452738
0.28,97.33312292883068,30.795329020041027,17.090105728262586,70.59095106186518,53.55057598232602,52.248698122139814,76.0193295077016,85.34795644626794,93.84566829730156,89.01967378510173,17.090105728262586,70.59095106186518,36.09752248698122,72.52459016393442,41.67587186365788,84.38091631957592,5.136499921098311,77.97064857187944
0.29,97.33312292883068,30.795329020041027,16.198516648256273,71.55382367267414,53.55057598232602,50.57598232602178,76.81747269890796,85.34795644626794,93.35647782862553,89.22413793103448,16.198516648256273,71.55382367267414,35.26905475777182,73.44519015659955,42.8672873599495,84.75980121479846,5.665141234022408,78.88590815843459
0.3,97.33312292883068,30.795329020041027,15.448950607543,72.36976506639428,53.55057598232602,48.93482720530219,77.70074169622703,85.34795644626794,92.85150702225027,89.43745751189667,15.448950607543,72.36976506639428,34.338014833517434,74.42555147058823,44.06659302509074,85.15666965085049,6.146441533848824,79.76171690074167
0.31,97.33312292883068,30.795329020041027,14.691494397980117,73.57679914070891,53.55057598232602,47.30945242228184,78.56904603068712,85.34795644626794,92.29919520277734,89.72473927167037,14.691494397980117,73.57679914070891,33.41486507811267,75.53719008264463,45.202777339435066,85.63449118519812,6.690863184472148,80.7243175003945
0.32,97.33312292883068,30.795329020041027,14.028720214612592,74.40944881889764,53.55057598232602,45.81032034085529,79.60730279021702,85.34795644626794,91.72321287675557,90.00430107526881,14.028720214612592,74.40944881889764,32.554836673504816,76.80562287930199,46.15748777023828,86.1880341880342,7.258955341644311,81.71058860659618
0.33,97.33312292883068,30.795329020041027,13.231813160801641,75.551580202743,53.55057598232602,44.500552311819476,80.39007092198581,85.34795644626794,91.19457156383146,90.24917805848763,13.231813160801641,75.551580202743,32.0183051917311,77.77230162641695,46.94650465519962,86.6218487394958,7.803376992267634,82.5469465046552
