threshold,final_accuracy,after_block3_isolated_accuracy,after_block3_rate,after_block3_accuracy,after_block6_isolated_accuracy,after_block6_rate,after_block6_accuracy,after_block9_isolated_accuracy,after_block9_rate,after_block9_accuracy,after_block3_sequential_rate,after_block3_sequential_accuracy,after_block6_sequential_rate,after_block6_sequential_accuracy,after_block9_sequential_rate,after_block9_sequential_accuracy,final_rate,overall_accuracy
0.75,99.06,68.32,33.28,91.46634615384616,88.98,77.18,97.01995335579166,97.08,93.94,99.04194166489249,33.28,91.46634615384616,46.42,95.69151227919001,16.24,98.0295566502463,4.06,94.48
0.76,99.06,68.32,32.02,91.75515302935665,88.98,76.38,97.1196648337261,97.08,93.7,99.12486659551762,32.02,91.75515302935665,46.74,95.89216944801026,16.94,98.46517119244392,4.3,94.82
0.77,99.06,68.32,30.7,92.24755700325733,88.98,75.4,97.3209549071618,97.08,93.5,99.16577540106952,30.7,92.24755700325733,46.9,96.28997867803838,17.84,98.4304932735426,4.56,95.22
0.78,99.06,68.32,29.26,92.68626110731374,88.98,74.48,97.47583243823846,97.08,93.22,99.2276335550311,29.26,92.68626110731374,47.3,96.57505285412262,18.5,98.5945945945946,4.94,95.56
0.79,99.06,68.32,28.06,93.01496792587312,88.98,73.8,97.58807588075881,97.08,93.0,99.26881720430107,28.06,93.01496792587312,47.74,96.64851277754504,18.92,98.62579281183932,5.28,95.76
0.8,99.06,68.32,26.62,93.16303531179564,88.98,72.82,97.7204064817358,97.08,92.6,99.30885529157668,26.62,93.16303531179564,48.14,96.92563356875779,19.62,98.57288481141693,5.62,96.0
0.81,99.06,68.32,25.18,93.32803812549642,88.98,71.9,97.85813630041724,97.08,92.22,99.34938191281718,25.18,93.32803812549642,48.52,97.19703215169002,20.34,98.62340216322517,5.96,96.26
0.82,99.06,68.32,23.74,93.51305812973884,88.98,71.14,97.97582232218161,97.08,91.74,99.41137998691956,23.74,93.51305812973884,49.1,97.35234215885947,20.76,98.65125240847784,6.4,96.42
0.83,99.06,68.32,22.42,93.84478144513827,88.98,69.92,98.05491990846681,97.08,91.26,99.45211483673022,22.42,93.84478144513827,49.14,97.47659747659748,21.58,98.79518072289157,6.86,96.64
0.84,99.06,68.32,21.4,93.64485981308411,88.98,68.66,98.16487037576464,97.08,90.96,99.47229551451187,21.4,93.64485981308411,48.88,97.66775777414075,22.6,98.84955752212389,7.12,96.72
