experiment_id,run_id,seed,state_id,training_mode,epoch,wall_clock_s,outer_objective,paper_utility_sum,expected_accuracy_sum,expected_accuracy_mean,expected_latency_sum_s,expected_latency_mean_s,split_entropy_HX,exit_entropy_HY,relative_objective_change,objective_cv,best_epoch,is_current_best,converged,stopping_reason,utility_consistent,source_path
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,30,117.37969040009193,3.1445635363961766,3.1445635363961766,3.877825925102947,0.9694564812757368,0.7332623887067706,0.18331559717669266,3.470857801437378,-2.0240642182032267,,,30,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,31,123.686852700077,3.1229128119098206,3.1229128119098206,3.881389537334552,0.970347384333638,0.7584767254247315,0.1896191813561829,3.3738362601598104,-2.165673236211141,,,30,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,32,129.06454570009373,3.118566016442591,3.118566016442591,3.8809453922640005,0.9702363480660001,0.7623793758214098,0.19059484395535245,3.269650101025899,-2.3137035133043926,,,30,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,33,134.58543890004512,3.1551848800792563,3.1551848800792563,3.8843524960240003,0.9710881240060001,0.7291676159447441,0.18229190398618603,3.164855542341868,-2.4230384360949198,,,33,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,34,140.27068890002556,3.175685800998322,3.175685800998322,3.880345945656,0.970086486414,0.7046601446576778,0.17616503616441945,3.0605122078259788,-2.608769631544749,,,34,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,35,145.8361898000585,3.1457428626761543,3.1457428626761543,3.891560122216,0.972890030554,0.7458172595398459,0.18645431488496148,2.935954924424489,-2.7447446354230247,,,34,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,36,151.2232837000629,3.1678812772857183,3.1678812772857183,3.871056756152144,0.967764189038036,0.7031754788664254,0.17579386971660635,2.802084015687307,-2.841507099469503,,,34,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,37,155.77787810005248,3.1957859236551607,3.1957859236551607,3.90118645052615,0.9752966126315376,0.7054005268709895,0.17635013171774738,2.679931460062663,-3.0206635290781656,,,37,True,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,38,159.631644600071,3.173876987221284,3.173876987221284,3.879737253678842,0.9699343134197105,0.7058602664575575,0.17646506661438938,2.5698295761744183,-3.214551513036092,,,37,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
controlled-5seed-resnet50-cifar10-20260726,controlled-5seed-resnet50-cifar10-20260726:seed-0:S0,0,S0,cold,39,165.357525600004,3.177420706189143,3.177420706189143,3.884460410382032,0.971115102595508,0.7070397041928892,0.1767599260482223,2.4480072520573932,-3.4019588160514833,0.3174095933600118,0.029990465440239603,37,False,False,,True,D:\Coding\Python\DSCI_SEAS\Scripts\Exp4_System-Overhead\result_data\seed_0_20260726-184020\convergence\20260726-184020-830_controlled-5seed-resnet50-cifar10-20260726_seed-0_S0_cold.jsonl
