algorithm,batch,evaluations,mean_obj,std_obj,batch_size,statistic,lower_obj,upper_obj
DSCI,139,1400,-2.9482003934099894,1.354081361621442,10,episode_mean,-4.302281755031432,-1.5941190317885474
DSCI,140,1410,-2.4393668403952438,1.880747213272865,10,episode_mean,-4.320114053668108,-0.5586196271223787
DSCI,141,1420,-1.5753647708958016,1.4861828677560442,10,episode_mean,-3.061547638651846,-0.08918190313975738
DSCI,142,1430,-2.3235764629436892,1.8079535791820003,10,episode_mean,-4.131530042125689,-0.515622883761689
DSCI,143,1440,-2.331695200305576,1.1394921761905692,10,episode_mean,-3.471187376496145,-1.1922030241150068
DSCI,144,1450,-2.72467661146763,1.5448526390970105,10,episode_mean,-4.2695292505646405,-1.1798239723706194
DSCI,145,1460,-2.614593008200438,0.6006271557035079,10,episode_mean,-3.215220163903946,-2.0139658524969297
DSCI,146,1470,-1.8512115360722459,1.2389724641289692,10,episode_mean,-3.090184000201215,-0.6122390719432766
DSCI,147,1480,-2.28406169663383,1.6752940537586292,10,episode_mean,-3.9593557503924592,-0.6087676428752009
DSCI,148,1490,-2.5406353306028997,1.4891842908812492,10,episode_mean,-4.029819621484149,-1.0514510397216505
DSCI,149,1500,-2.0048989427272987,1.4341084089431337,10,episode_mean,-3.4390073516704325,-0.570790533784165
DSCI,150,1510,-2.427114931335504,1.3897463578208318,10,episode_mean,-3.8168612891563356,-1.037368573514672
DSCI,151,1520,-2.7476352949180187,1.5643360148497356,10,episode_mean,-4.311971309767754,-1.183299280068283
DSCI,152,1530,-2.0530623349031227,1.4703225913453035,10,episode_mean,-3.5233849262484265,-0.5827397435578192
DSCI,153,1540,-2.0608813592361024,1.7410093383738738,10,episode_mean,-3.801890697609976,-0.31987202086222855
DSCI,154,1550,-3.0543120591629114,1.4187619444521586,10,episode_mean,-4.47307400361507,-1.6355501147107527
DSCI,155,1560,-1.8633769623826848,1.186557016849596,10,episode_mean,-3.049933979232281,-0.6768199455330888
DSCI,156,1570,-2.5608383177603833,0.9771263405799827,10,episode_mean,-3.537964658340366,-1.5837119771804007
DSCI,157,1580,-1.1562778872458073,1.035492683221835,10,episode_mean,-2.191770570467642,-0.1207852040239723
DSCI,158,1590,-2.7438587421825558,2.120960203276552,10,episode_mean,-4.864818945459108,-0.6228985389060036
DSCI,159,1600,-1.8582290345785275,1.3931858693965713,10,episode_mean,-3.251414903975099,-0.4650431651819562
GA,0,20,-6.552366906310811,2.7428326669961445,20,population_mean,-9.295199573306956,-3.809534239314667
GA,1,38,-5.0470482411703275,2.3353956521619823,20,population_mean,-7.38244389333231,-2.711652589008345
GA,2,56,-3.303743879023911,1.687569793065867,20,population_mean,-4.9913136720897775,-1.6161740859580438
GA,3,74,-2.171392419653018,1.6262970324875141,20,population_mean,-3.797689452140532,-0.545095387165504
GA,4,92,-1.2928889187205834,1.3878184279877508,20,population_mean,-2.680707346708334,0.09492950926716737
GA,5,110,-1.1943063132106349,1.6377299251267519,20,population_mean,-2.8320362383373867,0.443423611916117
GA,6,128,-0.3945703847918941,0.9762469548765793,20,population_mean,-1.3708173396684735,0.5816765700846852
GA,7,146,-0.5337886255566818,2.144388520700003,20,population_mean,-2.678177146256685,1.610599895143321
GA,8,164,0.7466283082044212,0.5869867661985135,20,population_mean,0.15964154200590763,1.3336150744029347
GA,9,182,0.16643509698231013,1.9729127807153002,20,population_mean,-1.8064776837329901,2.1393478776976105
GA,10,200,0.14557139888392764,2.133344302207326,20,population_mean,-1.9877729033233984,2.2789157010912535
GA,11,218,0.611409952155914,1.3115354347704504,20,population_mean,-0.7001254826145364,1.9229453869263644
GA,12,236,0.5284082744780448,1.4067650898994393,20,population_mean,-0.8783568154213944,1.935173364377484
GA,13,254,0.3792410779612183,1.437521701356066,20,population_mean,-1.0582806233948476,1.8167627793172842
GA,14,272,0.3472929504752607,1.8824470228616554,20,population_mean,-1.5351540723863948,2.2297399733369163
GA,15,290,0.8806638732749187,1.3548688767366546,20,population_mean,-0.4742050034617359,2.2355327500115734
GA,16,308,0.9037462880331086,1.4510091726542138,20,population_mean,-0.5472628846211052,2.3547554606873224
GA,17,326,0.47581808776818335,1.9635592654070824,20,population_mean,-1.487741177638899,2.439377353175266
GA,18,344,0.7881527642427177,1.6285429292396123,20,population_mean,-0.8403901649968946,2.41669569348233
GA,19,362,1.1472019275499659,1.1412181287963876,20,population_mean,0.00598379875357824,2.2884200563463537
GA,20,380,1.2859320208107985,0.5317818865627996,20,population_mean,0.7541501342479989,1.817713907373598
GA,21,398,1.19880687495289,0.7933259638489748,20,population_mean,0.40548091110391515,1.9921328388018646
GA,22,416,0.9798133134926534,0.9739549603309899,20,population_mean,0.005858353161663499,1.9537682738236435
GA,23,434,0.9480108728297758,1.204913252651674,20,population_mean,-0.2569023798218981,2.1529241254814497
GA,24,452,0.5573928837247746,1.6687525251711668,20,population_mean,-1.1113596414463922,2.2261454088959414
GA,25,470,0.815387995063511,1.3541089637110844,20,population_mean,-0.5387209686475734,2.1694969587745954
GA,26,488,1.1010475542146545,0.8586061331224556,20,population_mean,0.2424414210921989,1.9596536873371102
GA,27,506,1.332734926138229,0.7724500965925513,20,population_mean,0.5602848295456778,2.1051850227307805
GA,28,524,0.26389175431321255,2.9310099845779067,20,population_mean,-2.6671182302646943,3.194901738891119
GA,29,542,0.906285013731409,1.0950753139965301,20,population_mean,-0.1887903002651211,2.001360327727939
GA,30,560,1.0349787268318096,1.0560607090051095,20,population_mean,-0.02108198217329993,2.091039435836919
GA,31,578,0.39870397671038066,2.29378757565436,20,population_mean,-1.8950835989439796,2.692491552364741
GA,32,596,-0.04366121533554064,2.6640112130513205,20,population_mean,-2.707672428386861,2.62034999771578
GA,33,614,1.18252903539172,2.367409946770976,20,population_mean,-1.1848809113792562,3.549938982162696
GA,34,632,1.096736035323685,1.3502069925033076,20,population_mean,-0.25347095717962254,2.4469430278269924
GA,35,650,1.1244449329599844,1.4856697295268666,20,population_mean,-0.3612247965668822,2.610114662486851
GA,36,668,0.6287876206267861,1.5916061639291919,20,population_mean,-0.9628185433024058,2.220393784555978
GA,37,686,1.1032082283282363,1.3227341477985324,20,population_mean,-0.2195259194702961,2.425942376126769
GA,38,704,1.6783461890410745,0.38068178611081543,20,population_mean,1.297664402930259,2.05902797515189
GA,39,722,1.1945924861650083,1.4299658709796235,20,population_mean,-0.23537338481461512,2.6245583571446316
GA,40,740,0.4891131720243509,2.751860875719474,20,population_mean,-2.262747703695123,3.240974047743825
GA,41,758,1.3684104649151503,1.1269239864527498,20,population_mean,0.24148647846240046,2.4953344513679
GA,42,776,1.5714361894713507,0.663770700519274,20,population_mean,0.9076654889520767,2.2352068899906246
GA,43,794,1.0271977690754175,1.6387639409816601,20,population_mean,-0.6115661719062426,2.6659617100570774
GA,44,812,1.3319313119611749,1.5711992440247204,20,population_mean,-0.23926793206354557,2.9031305559858955
